,ratio,x,y
0,0.0023201856148491,1,431
23,0.0023201856148491,1,431
22,0.0023201856148491,1,431
20,0.0023201856148491,1,431
19,0.0023201856148491,1,431
17,0.0023201856148491,1,431
14,0.0023201856148491,1,431
13,0.0023201856148491,1,431
12,0.0023201856148491,1,431
11,0.0023201856148491,1,431
21,0.0023201856148491,1,431
4,0.0023201856148491,1,431
8,0.0023201856148491,1,431
7,0.0023201856148491,1,431
6,0.0023201856148491,1,431
2,0.0023201856148491,1,431
3,0.0023201856148491,1,431
63,0.0049019607843137,1,204
62,0.0049019607843137,1,204
72,0.0049019607843137,1,204
69,0.0049019607843137,1,204
73,0.0049019607843137,1,204
71,0.0049019607843137,1,204
65,0.0049019607843137,1,204
64,0.0049019607843137,1,204
16,0.0069605568445475,3,431
1,0.0092807424593967,4,431
10,0.0092807424593967,4,431
29,0.0101010101010101,1,99
26,0.0101010101010101,1,99
24,0.0101010101010101,1,99
25,0.0101010101010101,1,99
44,0.010752688172043,1,93
53,0.010752688172043,1,93
52,0.010752688172043,1,93
51,0.010752688172043,1,93
50,0.010752688172043,1,93
49,0.010752688172043,1,93
48,0.010752688172043,1,93
47,0.010752688172043,1,93
46,0.010752688172043,1,93
45,0.010752688172043,1,93
43,0.010752688172043,1,93
37,0.010752688172043,1,93
41,0.010752688172043,1,93
42,0.010752688172043,1,93
31,0.010752688172043,1,93
33,0.010752688172043,1,93
35,0.010752688172043,1,93
32,0.010752688172043,1,93
38,0.010752688172043,1,93
39,0.010752688172043,1,93
36,0.010752688172043,1,93
30,0.010752688172043,1,93
74,0.0147058823529411,3,204
68,0.0147058823529411,3,204
34,0.021505376344086,2,93
66,0.0245098039215686,5,204
54,0.0265486725663716,6,226
58,0.0265486725663716,6,226
61,0.0265486725663716,6,226
27,0.0303030303030303,3,99
28,0.0303030303030303,3,99
70,0.0539215686274509,11,204
75,0.0686274509803921,14,204
67,0.1078431372549019,22,204
15,0.1136890951276102,49,431
57,0.3274336283185841,74,226
40,0.3548387096774194,33,93
5,0.45707656612529,197,431
18,0.5498839907192575,237,431
9,0.7679814385150812,331,431
60,0.827433628318584,187,226
55,0.831858407079646,188,226
59,0.8716814159292036,197,226
56,0.8982300884955752,203,226
